language	task	first_entropy	last_entropy	majority_baseline	sentence_char_len	sentence_char_per_subword	sentence_fertility	sentence_subword_len	sentence_word_len	target_char_len	target_char_per_subword	target_fertility	target_subw_entropy
Afrikaans	number_noun	8.491142324497412	7.551914735816899	50.0	127.41375	3.001271446345342	1.7311149718682308	42.5525	24.79375	10.723333333333333	3.508750543438048	3.307916666666667	8.491142324497412
Albanian	case_noun	9.108299150305243	6.813661092427127	22.0	92.29166666666667	2.543321033063647	1.8166782615185142	36.39666666666667	20.16583333333333	8.132916666666667	2.9280649801587306	2.995	9.108299150305243
Albanian	case_propn	9.018895743852497	7.562038914815403	42.0	87.71720116618076	2.519262788612825	1.7674745435313306	34.98375676801333	19.923781757601	7.248646397334444	2.9598570040260985	2.7280299875052063	9.018895743852497
Albanian	definite_noun	9.187097541799135	7.646797553279263	50.0	88.82708333333333	2.526005963518541	1.7992357389284215	35.330416666666665	19.77125	7.525833333333333	2.8999756944444433	2.8245833333333334	9.187097541799135
Albanian	gender_noun	9.181068153591394	7.328333840864453	50.0	90.0	2.5201042227492327	1.8070077833843556	35.8325	19.962083333333332	7.709583333333334	2.870522817460316	2.90375	9.181068153591394
Albanian	gender_propn	9.051769302869044	7.689963024763763	59.5	87.15791666666667	2.5232204595622383	1.761289334557514	34.72291666666667	19.8475	7.144583333333333	2.9705243055555526	2.69125	9.051769302869044
Albanian	number_noun	9.183916790094464	7.096887885103137	50.0	90.92666666666666	2.5353371398221953	1.822124981595693	35.99125	19.909166666666668	7.925	2.9161254960317393	2.9366666666666665	9.183916790094464
Albanian	number_verb	7.214398632189752	6.602902504791426	50.0	37.85583333333334	2.1969202678416533	1.825481643042231	16.139166666666668	9.042916666666667	8.3525	2.4671478174603174	3.4966666666666666	7.214398632189752
Arabic	aspect_verb	4.503482278412857	7.155849227060505	50.0	103.96208333333334	2.2036731589543015	2.0414217713744973	47.36666666666667	23.36375	4.565416666666667	1.778805555555556	2.7420833333333334	4.503482278412857
Arabic	case_adj	4.8871283917055415	6.486630946960118	33.33333333333325	116.6762380357886	2.205473375802603	2.093029141211844	52.99958385351644	25.5605493133583	6.4898044111527255	2.201839466539843	3.1627132750728255	4.8871283917055415
Arabic	case_noun	5.001185003304772	7.58168339185665	33.33333333333325	115.98834789846026	2.2034490597437255	2.0750492436523027	52.85975863503953	25.637952559300874	5.955472326258843	2.082657590710028	3.037037037037037	5.001185003304772
Arabic	definite_noun	5.347789571999026	7.648143030080694	33.33333333333325	117.90803162713276	2.2067317149659424	2.0919350910790704	53.752808988764045	25.903870162297128	5.778610070744902	2.068654261538157	2.9891801914273826	5.347789571999026
Arabic	gender_adj	4.743772217021506	6.468529729717904	50.0	119.87458333333333	2.2200006584572876	2.0964809557599406	54.12125	26.016666666666666	6.617916666666667	2.2804394841269873	3.13625	4.743772217021506
